,won,games,max stake,% won
407,True,17,4000.0,59.0
408,True,16,4000.0,62.0
409,False,7,5000.0,28.999999999999996
410,True,16,4000.0,62.0
411,False,10,6000.0,30.0
412,False,21,8000.0,38.0
413,True,25,8000.0,40.0
414,False,14,4000.0,43.0
415,False,15,8000.0,40.0
416,False,4,4000.0,0.0
417,False,11,6000.0,27.0
418,True,24,7000.0,46.0
419,True,22,8000.0,50.0
420,True,14,4000.0,71.0
421,True,15,2000.0,67.0
422,False,18,8000.0,44.0
423,False,10,6000.0,30.0
424,False,4,4000.0,0.0
425,False,10,7000.0,40.0
426,False,44,8000.0,48.0
427,False,8,5000.0,25.0
428,False,9,6000.0,33.0
429,False,8,4000.0,25.0
430,True,26,8000.0,42.0
431,True,46,8000.0,50.0
432,True,18,4000.0,56.00000000000001
433,False,11,8000.0,55.00000000000001
434,True,14,4000.0,71.0
435,False,10,8000.0,50.0
436,True,15,8000.0,67.0
437,True,20,4000.0,50.0
438,False,11,5000.0,27.0
439,True,26,4000.0,57.99999999999999
440,False,22,8000.0,45.0
441,True,19,4000.0,53.0
442,True,14,4000.0,71.0
443,True,16,4000.0,62.0
444,False,9,6000.0,33.0
445,True,16,4000.0,62.0
446,True,18,8000.0,56.00000000000001
447,True,51,8000.0,47.0
448,False,11,7000.0,36.0
449,False,10,7000.0,40.0
450,True,15,2000.0,67.0
451,False,15,8000.0,40.0
452,False,8,6000.0,38.0
453,True,18,4000.0,56.00000000000001
454,False,20,7000.0,40.0
455,True,16,8000.0,62.0
456,True,17,4000.0,59.0
457,False,5,4000.0,20.0
458,True,17,4000.0,59.0
459,False,12,5000.0,33.0
460,False,22,8000.0,41.0
461,True,12,2000.0,83.0
462,False,19,8000.0,53.0
463,True,18,4000.0,56.00000000000001
464,True,15,2000.0,67.0
465,True,17,2000.0,59.0
466,False,10,8000.0,50.0
467,True,21,5000.0,62.0
468,True,21,8000.0,48.0
469,False,9,6000.0,33.0
470,True,14,2000.0,71.0
471,True,15,4000.0,67.0
472,False,14,4000.0,28.999999999999996
473,False,6,5000.0,33.0
474,False,21,8000.0,43.0
475,False,23,8000.0,48.0
476,False,10,7000.0,40.0
477,True,13,4000.0,77.0
478,False,14,8000.0,43.0
479,False,4,4000.0,0.0
480,False,7,6000.0,43.0
481,True,35,6000.0,51.0
482,False,15,7000.0,33.0
483,True,20,8000.0,50.0
484,False,15,4000.0,27.0
485,False,7,5000.0,28.999999999999996
486,True,18,4000.0,56.00000000000001
487,True,15,2000.0,67.0
488,True,20,4000.0,50.0
489,False,7,5000.0,28.999999999999996
490,False,6,5000.0,33.0
491,True,17,4000.0,59.0
492,True,11,2000.0,91.0
493,False,7,4000.0,14.000000000000002
494,False,4,4000.0,0.0
495,True,15,4000.0,67.0
496,True,20,8000.0,50.0
497,False,4,4000.0,0.0
498,False,5,4000.0,20.0
499,True,18,8000.0,56.00000000000001
500,True,17,6000.0,71.0
501,True,30,8000.0,47.0
502,True,18,4000.0,56.00000000000001
503,True,18,4000.0,56.00000000000001
504,False,21,8000.0,43.0
505,False,11,4000.0,27.0
506,True,45,8000.0,51.0
507,False,8,6000.0,38.0
508,True,20,8000.0,50.0
509,False,22,8000.0,50.0
510,True,16,8000.0,62.0
511,False,12,8000.0,50.0
512,True,15,4000.0,67.0
513,False,4,4000.0,0.0
514,False,23,8000.0,43.0
515,True,21,8000.0,48.0
516,False,26,8000.0,46.0
517,False,8,5000.0,25.0
518,True,13,4000.0,77.0
519,False,26,8000.0,42.0
520,False,21,8000.0,43.0
521,False,18,8000.0,33.0
522,True,17,4000.0,59.0
523,True,17,8000.0,59.0
524,True,19,5000.0,68.0
525,True,25,4000.0,56.00000000000001
526,True,17,4000.0,59.0
527,True,15,4000.0,67.0
528,False,7,4000.0,14.000000000000002
529,True,24,5000.0,54.0
530,False,27,8000.0,44.0
531,True,15,4000.0,67.0
532,True,17,4000.0,59.0
533,False,13,4000.0,23.0
534,False,10,7000.0,40.0
535,False,8,7000.0,50.0
536,False,14,4000.0,36.0
537,False,4,4000.0,0.0
538,True,16,4000.0,62.0
539,True,23,8000.0,48.0
540,False,9,4000.0,22.0
541,True,24,6000.0,50.0
542,False,21,4000.0,38.0
543,False,11,7000.0,36.0
544,True,17,4000.0,59.0
545,True,20,5000.0,65.0
546,True,23,5000.0,56.99999999999999
547,False,25,8000.0,36.0
548,True,16,4000.0,62.0
549,True,15,4000.0,67.0
550,True,23,8000.0,43.0
